Year,Month,AT,DPT,RH,PR,AP,WVP,SLP,AWS,ST,5ST,10ST,15ST,20ST,40ST,60ST,100ST,SR
2009,1,-21.1,-26.4,69,0,993.4,0.9,1025.8,1.7,-20.7,-6.8,-6.4,-6.1,-5.7,-3.8,-2.1,0.5,191.253
2009,2,-17.7,-21.2,75,0,988.7,1.2,1020.5,2.3,-18.5,-6,-5.7,-5.5,-5.3,-3.9,-2.8,-0.6,301.972
2009,3,-9.2,-13.2,74,0.2,986.9,2.5,1017.6,2.7,-8.2,-3.6,-3.5,-3.4,-3.4,-2.8,-2.2,-1,485.634
2009,4,7.6,-4.1,49,11.6,983.7,4.7,1012.5,3,7.6,2.6,2,1.7,1.3,-0.2,-0.3,-0.4,598.169
2009,5,16.2,-1.2,37,12.6,978.9,6.2,1006.2,4.4,17.9,10.1,9.5,9,8.2,4.5,1.9,-0.2,667.569
2009,6,17.1,14.1,85,235.2,973.5,16.4,1001,2.4,20.2,16.2,15.6,15.2,16.4,11.6,9.3,5.1,510.274
2009,7,21,18.1,86,75.8,975.8,20.9,1003,1.9,32.7,21.3,20.8,20.5,23.6,17.8,16.1,12.5,618.19
2009,8,20.1,17.1,85,58.2,979.8,20,1007.2,2.1,24.1,20.8,20.5,20.4,20.2,18.8,17.6,14.6,582.51
2009,9,12.9,7.9,75,28.8,983.6,11.2,1011.8,2.4,14.5,13.3,13.3,13.4,13.5,13.8,13.9,13.2,436.903
2009,10,4.5,-2.6,65,6.6,986.4,5.4,1015.6,2.2,4.9,5.4,5.8,6,6.4,7.9,8.9,9.7,320.904
2009,11,-11.2,-16.6,69,0,993,1.9,1024.2,2.7,-5.1,-2.3,-1.8,-1.5,-1.1,1.2,3,5.3,205.135
2009,12,-20.9,-23.8,78,0,991.6,1.1,1023.9,,-18.3,-4.1,-3.6,-3.3,-2.9,-1,0.5,2.5,146.762
2010,1,-22.6,-25.3,78,0,991.3,0.9,1023.8,1.9,-24,-5.3,-4.8,-4.6,-4.2,-2.4,-0.9,1.1,172.487
2010,2,-20.3,-24,74,0,991.6,1,1023.8,2.1,-21.3,-4.8,-4.5,-4.4,-4.1,-2.8,-1.6,0.3,289.695
2010,3,-11.7,-15.5,75,8.6,988.2,2.1,1019.2,2.5,-10.7,-3.3,-3.1,-3,-2.9,-2.2,-1.5,-0.2,478.087
2010,4,1.6,-3.3,73,23.4,984.3,5,1012.5,3.1,3.8,0.9,0.6,0.4,0.2,-0.4,-0.3,-0.1,516.855
2010,5,14.6,7.6,68,82.8,979.9,10.8,1007.8,2.7,14.8,10.5,9.7,9.2,8.4,4.6,2.2,0.4,581.906
2010,6,24.1,13.9,58,5,979.5,16.3,1006.5,2.5,29.4,20.9,20.1,19.5,18.7,14.7,11.9,7.5,725.993
2010,7,22,18.7,83,81,977.6,21.8,1004.8,2.3,26.6,22.5,22,21.7,21.2,18.6,16.5,12.5,631.808
2010,8,19.5,16.9,87,95.4,980.2,19.5,1007.6,2,22.3,19.6,19.3,19.2,19,17.5,16.4,13.8,474.954
2010,9,14.7,5.7,60,21.2,985.8,10.1,1013.9,2.4,15.9,13.9,14.1,14.1,14.3,14.4,14.3,13.2,522.002
2010,10,4.3,-3.3,61,3.6,989.7,5.3,1019,2.6,3.4,4.6,4.9,5.2,5.6,7.4,8.6,9.7,293.036
2010,11,-6.5,-11.5,70,6.8,987.4,2.8,1017.8,2.7,-5.2,-1.5,-1,-0.7,-0.3,1.8,3.3,5.4,179.492
2010,12,-20.4,-23.7,75,0,985,1,1017.1,2,-21.4,-5.9,-5.3,-5,-4.5,-2,0,2.5,156.054
2011,1,-25.1,-28.7,72,0,995.3,0.6,1028.2,1.3,-25.7,-11.4,-5.4,-5.2,-4.9,-3,-1.4,0.8,201.107
2011,2,-16.6,-20.7,71,1,991.6,1.3,1023.3,2.4,-16.1,-12.4,-5.3,-5.1,-4.9,-3.5,-2.2,-0.1,277.228
2011,3,-8.3,-13,70,1.8,987.1,2.5,1017.7,2.4,-6.1,-5.8,-2.8,-2.8,-2.7,-2.1,-1.5,-0.4,515.432
2011,4,5.5,-6.9,45,2,981.6,3.9,1010.5,3.5,6.6,,2.1,1.8,1.4,0,-0.2,-0.2,536.146
2011,5,13.7,3.4,55,51.8,978.4,8.2,1006.4,2.9,17.4,12.6,10.7,10.2,9.4,5.8,3.2,0.7,568.393
2011,6,20.1,11.4,62,65,975.8,13.7,1003,2.6,25.8,20.2,18.5,18.1,18.2,14.1,11.9,7.9,617.465
2011,7,22.9,19,80,223,977.2,22,1004.3,1.8,26.9,23.4,22.4,22.1,21.8,19,17,13,604.096
2011,8,20.6,16.9,81,81.6,980.8,19.6,1008.1,1.7,22.4,20.2,,20.2,20.6,19.1,18.2,15.7,549.785
2011,9,12.4,4.3,63,26.4,985.3,8.7,1013.6,2.5,13,15.1,13.1,13.1,13.3,13.8,14.1,13.6,474.663
2011,10,6.6,-0.4,64,5,987.3,6.3,1016.2,2.7,5.9,5.2,6.6,6.6,6.9,8.2,9.2,10.2,291.773
2011,11,-8,-12.5,72,4.6,994.2,2.8,1025,2.1,-2.8,-1.1,-0.5,-0.4,0.2,2.7,4.4,6.5,221.277
2011,12,-20.3,-24,73,0,996.1,1,1028.5,1.7,-8.9,-3.3,-6.8,-6.6,-6.1,-3.2,-0.8,2.3,183.069
2012,1,-24.9,-28.9,70,0,997.1,0.6,1030.1,1.3,-19.9,-10.3,-10.3,-10.1,-9.5,-6.6,-4.2,-0.2,210.311
2012,2,-18.2,-23.8,62,0,989.5,1,1021.4,2.1,-19.9,-11.7,-11.7,-11.5,-11.1,-8.7,-6.6,-2.8,294.1
2012,3,-5.8,-15.1,52,6.2,987.3,2.1,1017.7,2.7,-5.2,-5.7,-5.7,-5.6,-5.6,-4.9,-4.2,-2.7,421.914
2012,4,4.8,,,13.8,978.8,,1007.7,3.4,,,,,,,,,446.06
2012,5,14.7,3.3,52,32.2,980.9,8,1008.8,2.7,18.9,11.3,11.3,11,10.1,5.8,2.8,-0.3,644.087
2012,6,20.5,14.2,70,111.4,978.1,16.4,1005.4,2.1,23.9,18.9,18.9,18.6,17.8,13.6,10.4,4.8,591.491
2012,7,22.4,18.4,79,160,976.8,21.3,1003.8,1.9,26.6,22.6,22.6,22.5,22,19.1,16.8,12.1,587.241
2012,8,19.5,15,78,109.4,981.2,17.4,1008.7,2,23.3,19.9,19.9,19.9,19.7,18.4,17.3,14.5,594.163
2012,9,14.5,9.9,77,89.2,986,12.6,1014.1,2,15,15.2,15.2,15.2,15.3,15.4,15.3,14.1,368.996
2012,10,4.3,-0.9,72,55.6,987,6.2,1016.2,2.4,3.5,5.9,5.9,6,6.4,8.2,9.5,10.6,270.919
2012,11,-8.5,-11.3,81,18.2,988.8,2.9,1019.4,1.6,-4.5,-0.5,-0.5,-0.4,0.1,2.1,3.6,5.8,188.517
2012,12,-23.3,-26.1,78,0,992.7,0.8,1025.4,1.6,-24.4,-2.6,-2.6,-2.5,-2.2,-0.3,1.2,3.1,118.093
2013,1,-24.8,-28.1,74,0,994.3,0.7,1027.2,1.5,-27.3,-5.3,-4.7,-4.6,-4.2,-2.3,-0.6,1.5,197.068
2013,2,-19.5,-23.1,74,0,990.9,1,1023,2.1,-18.6,-5.1,-4.7,-4.6,-4.3,-3,-1.7,0.3,285.269
2013,3,-11.4,-15.4,73,6.6,984,2,1014.9,2.7,-8.5,-3.3,-3.1,-3.1,-3,-2.3,-1.5,-0.2,502.901
2013,4,5.5,-6.7,46,1.2,979.4,3.9,1008.2,3,7.5,3.3,2.7,2.4,1.9,0.1,-0.2,-0.2,555.818
2013,5,15.9,5.7,57,45,975.2,9.8,1002.9,2.8,19.2,12,10.9,10.6,9.8,5.7,3,0.7,588.873
2013,6,20.2,13.3,68,48.2,977.9,15.6,1005.2,,24.3,18.6,17.7,17.6,17,13.7,11.5,7.6,533.369
2013,7,21.9,18.2,81,318,973.8,21.2,1000.8,2.1,25.8,22.2,21.6,21.5,21,18.6,16.7,12.8,544.292
2013,8,20.6,17.4,84,235,975.7,20.5,1002.9,1.9,22.6,21.7,21.6,21.5,21.4,20.3,19.4,16.6,471.648
2013,9,13.4,6.9,69,44,984.9,10.6,1013.1,2.3,14.3,13.9,14.2,14.2,14.4,15,15.3,14.8,438.992
2013,10,5.3,-1.1,66,14.8,990.8,5.9,1020,2.3,4.6,5.9,6.5,6.6,7,8.8,10,11.1,289.701
2013,11,-5.9,-9.2,80,2,985.8,3.5,1016.1,2.6,-5.8,0.6,1.2,1.2,1.6,3.4,4.9,6.9,171.075
2013,12,-17.3,-19.7,82,0,991.3,1.4,1023.1,1.5,-19.7,-1.4,-0.8,-0.7,-0.4,1.2,2.4,4.2,170.026
2014,1,-22.3,-25.9,73,0,992.3,0.8,1024.8,2,-25.5,-3.1,-2.5,-2.5,-2.1,-0.5,0.8,2.5,201.497
2014,2,-18.7,-22.9,70,0,998,1.2,1030.3,1.9,,-3.3,-2.8,-2.8,-2.6,-1.3,-0.1,1.5,284.475
2014,3,-3.9,-9.7,66,0,989.2,3.4,1019.4,1.9,-4.9,-1.2,-1.1,-1.1,-1.1,-0.7,-0.2,1,464.978
2014,4,8.7,-5.4,41,3.2,986.6,4.5,1015.3,3.5,13.4,4.3,3.5,3.4,2.8,0.7,0.3,0.9,555.329
2014,5,13,6.2,69,87.6,977.2,10.1,1005.2,2.4,15.2,11.6,11,10.9,10.5,8.4,6.9,4.7,465.413
2014,6,21.8,13.9,65,106.6,978.8,16.3,1006,2.1,26.5,20.4,19.7,19.6,19,16.1,14.1,10.3,652.134
2014,7,21.3,18.1,83,176.8,975.5,21,1002.6,2,24.4,21.6,21.2,21.1,20.8,18.9,17.5,14.2,529.909
2014,8,20.4,16.7,81,55.4,981.5,19,1008.9,1,23.1,20.6,20.4,20.4,20.2,19.1,18.2,15.8,542.943
2014,9,13.8,8,72,74.4,985.4,11.5,1013.5,1.7,13.6,14.4,14.7,14.7,14.9,15.5,15.7,15,427.216
2014,10,3.9,-3.7,62,22.8,989.8,5,1019.1,2.3,,5.2,5.8,5.8,6.3,8.3,9.6,11.1,306.657
