color,spine,width,satell,weight,y
3,3,45379,8,3050,1
4,3,45434,0,1550,0
2,1,26.0,9,2300,1
4,3,45528,0,2100,0
4,3,26.0,4,2600,1
3,3,45527,0,2100,0
2,1,45438,0,2350,0
4,2,45497,0,1900,0
3,1,45496,0,1950,0
4,3,45468,0,2150,0
4,3,45375,0,2150,0
3,3,45529,0,2650,0
3,3,45350,11,3050,1
5,2,21.0,0,1850,0
3,1,26.0,14,2300,1
2,1,45318,8,2950,1
3,3,45347,1,2000,1
3,3,29.0,1,3000,1
5,3,45497,0,2200,0
3,3,45409,5,2700,1
3,2,45345,4,1950,1
2,2,25.0,3,2300,1
3,1,45434,1,1600,1
4,3,45499,2,2600,1
5,3,45529,3,2000,1
5,3,45348,0,1300,0
3,3,45501,3,3150,1
3,1,45530,5,2700,1
5,3,45439,0,2600,0
3,3,45559,0,2100,0
2,1,45380,4,3200,1
2,3,45529,0,2600,0
3,2,45498,0,2000,0
3,1,45498,8,2000,1
3,1,45499,5,2700,1
5,3,45496,0,1850,0
3,3,45530,0,2650,0
3,3,45439,6,3150,1
5,3,45405,0,1900,0
3,3,45562,6,2800,1
4,3,45439,3,3100,1
2,1,45317,5,2800,1
2,1,45500,6,2500,1
3,1,30.0,5,3300,1
4,1,45440,9,3250,1
4,3,45563,4,2800,1
3,3,45350,6,2600,1
3,3,25.0,4,2100,1
3,3,45440,3,3000,1
3,1,45381,3,3600,1
5,3,45497,5,2100,1
3,3,45500,5,2900,1
2,1,45409,6,2700,1
3,3,45557,4,1600,1
3,1,45498,5,2000,1
3,3,45379,15,3000,1
3,3,45349,3,2700,1
4,3,45348,3,2300,1
3,1,45531,0,2750,0
5,3,45437,0,2250,0
4,3,45318,0,2550,0
4,3,45436,5,2050,1
4,1,27.0,3,2450,1
3,3,26.0,5,2150,1
3,3,28.0,1,2800,1
3,3,30.0,8,3050,1
3,3,29.0,10,3200,1
3,3,45348,0,2400,0
3,1,45438,0,1300,0
3,3,45348,3,2400,1
4,3,45468,7,2800,1
4,3,23.0,1,1650,1
4,3,23.0,0,1800,0
3,3,45407,6,2250,1
4,3,45346,0,1900,0
3,2,45557,0,1600,0
4,2,26.0,3,2200,1
3,3,45407,4,2250,1
4,3,45498,0,1200,0
3,3,45316,5,2100,1
4,2,45436,0,2250,0
5,3,45439,0,2900,0
4,3,45314,0,1650,0
4,1,45560,4,2550,1
3,3,45529,0,2300,0
5,3,27.0,3,2250,1
3,3,45440,0,3050,0
5,1,45437,0,2750,0
5,3,45435,0,1900,0
3,2,24.0,0,1700,0
3,1,45502,5,3850,1
3,1,45530,0,2550,0
5,3,45499,0,2450,0
3,1,45501,0,3200,0
4,3,45314,0,1550,0
3,1,29.0,1,2800,1
4,3,45437,0,2250,0
4,3,45438,1,1967,1
4,3,45436,1,2200,1
4,3,45440,1,3000,1
3,3,45350,1,2867,1
3,3,45436,1,1600,1
3,3,45439,1,2550,1
3,2,45497,4,2550,1
3,1,45347,1,2000,1
4,3,45378,1,2900,1
3,3,45377,1,2400,1
3,3,29.0,1,3100,1
3,3,45376,2,1900,1
3,3,45438,4,2300,1
3,3,45531,3,3250,1
3,3,27.0,6,2500,1
4,3,45498,0,2100,0
3,3,25.0,2,2100,1
3,3,31.9,2,3325,1
5,3,45496,0,1800,0
5,3,45380,12,3225,1
4,3,22.0,0,1400,0
3,3,25.0,5,2400,1
4,3,27.0,6,2500,1
4,3,45527,6,1800,1
2,1,30.2,2,3275,1
4,3,45348,0,2225,0
3,3,45346,2,1650,1
3,3,45409,3,2900,1
3,2,45407,0,2300,0
4,3,45410,3,3200,1
5,3,45434,4,1475,1
3,3,45348,2,2025,1
3,1,45559,6,2300,1
2,2,45436,6,1950,1
3,3,45316,0,1800,0
3,1,28.0,4,2900,1
5,3,45529,10,2250,1
3,3,45562,7,3050,1
3,3,45559,0,2200,0
3,1,45410,5,3100,1
4,3,45349,5,2400,1
3,2,25.0,6,2250,1
3,3,45439,6,2625,1
3,1,33.5,7,5200,1
3,3,45442,3,3325,1
4,3,29.0,3,2925,1
3,1,45375,0,2000,0
3,3,45529,0,2400,0
5,3,25.0,8,2100,1
3,1,45504,4,3725,1
3,3,45441,4,3025,1
4,3,24.0,10,1900,1
3,3,30.0,9,3000,1
3,3,45470,4,2850,1
3,3,45348,0,2300,0
3,1,45314,0,2000,0
3,1,45557,0,1600,0
5,3,45436,0,1900,0
3,3,45497,4,1950,1
3,3,45379,0,3200,0
3,3,45558,2,1850,1
4,3,45527,0,1800,0
4,2,45533,4,3500,1
3,3,45438,4,2350,1
3,3,26.0,3,2275,1
3,3,45350,8,3050,1
5,3,45498,0,2150,0
3,3,45438,7,2750,1
3,3,45529,0,2200,0
4,3,45315,0,1800,0
4,3,45348,2,2175,1
4,3,45317,3,2750,1
4,3,29.0,4,3275,1
2,1,28.0,0,2625,0
5,3,27.0,0,2625,0
3,2,45436,0,2000,0
